Time,Current,Theta_m,Q_load,Speed,DotQ,Delta_Theta,Tau_m
0.813,20.616580754186,23.5543163465537,0.231633686497734,31.617147559538,0.313044234505624,0.00157736643844106,1.13535510213302
0.814,20.6165809635537,23.5859334846562,0.231946731059525,31.6171495608746,0.313044255154672,0.00157736284796231,1.1353551136629
0.815,20.6165811619167,23.6175506260449,0.232259775599266,31.6171518228025,0.313044266044053,0.00157735931207004,1.13535512458675
0.816,20.6165813476691,23.6491677715861,0.232572820089779,31.6171543076079,0.313044267545514,0.00157735586651955,1.13535513481614
0.817,20.6165815191573,23.6807849221824,0.232885864502442,31.6171569744515,0.313044260089283,0.0015773525488682,1.13535514425999
0.818,20.616581674685,23.7124020787695,0.233198908807269,31.6171597794428,0.313044244164186,0.00157734939836982,1.1353551528249
0.819,20.6165818187644,23.7440192392675,0.233511953058666,31.6171627591419,0.313044220371518,0.00157734634002207,1.13535516075935
0.82,20.6165819557541,23.7756364016196,0.233824997312149,31.6171659582075,0.313044189070619,0.00157734329794604,1.13535516830338
0.821,20.6165820848109,23.8072535662826,0.23413804155332,31.6171693564395,0.313044150466116,0.00157734029106171,1.13535517541054
0.822,20.6165822051702,23.8388707336788,0.234451085768635,31.6171729339736,0.313044104780173,0.00157733733709642,1.13535518203872
0.823,20.6165823161454,23.8704879041962,0.234764129945397,31.6171766712809,0.313044052252491,0.00157733445258479,1.13535518815013
0.824,20.6165824171285,23.9021050781877,0.235077174071762,31.6171805491685,0.313043993140304,0.00157733165286866,1.13535519371127
0.825,20.6165825075899,23.9337222559721,0.235390218136735,31.617184548779,0.313043927718385,0.00157732895209731,1.13535519869297
0.826,20.616582587078,23.9653394378332,0.235703262130171,31.6171886515906,0.313043856279043,0.00157732636322735,1.13535520307039
0.827,20.61658265522,23.9969566240205,0.236016306042775,31.6171928394175,0.313043779132122,0.00157732389802254,1.13535520682296
