Time,Current,Speed
0.256,3.61026775202486,197.385611029616
0.258,3.51407495458721,197.69761597757
0.26,3.42022296596451,197.993283609416
0.262,3.32869473803085,198.273020878116
0.264,3.23947205175136,198.537231247838
0.266,3.15253549114682,198.786315352711
0.268,3.06786412556813,199.020671698177
0.27,2.98543611576966,199.240694487082
0.272,2.90522886462186,199.446773264827
0.274,2.82721901711126,199.639292919372
0.276,2.75138246034049,199.818633681232
0.278,2.67769432352825,199.985171123478
0.28,2.60612899428106,200.139276390567
0.282,2.53665984876282,200.28131713131
0.284,2.46925953875852,200.411656221429
0.286,2.40390029513572,200.530651189346
0.288,2.34055392934685,200.638654215439
0.29,2.27919183342925,200.736012132044
0.292,2.21978498000513,200.823066423451
0.294,2.16230393331695,200.900153304431
0.296,2.10671870123061,200.967604434611
0.298,2.05299875414725,201.025746354859
0.3,2.00111338992593,201.074899946201
0.302,1.95103175442671,201.115380427624
0.304,1.90272284151053,201.147497356072
0.306,1.85615549303933,201.171554626451
0.308,1.81129840246277,201.18785049113
0.31,1.76812005771828,201.19667804919
0.312,1.72658861501928,201.198325045028
0.314,1.68667222774604,201.193073502755
0.316,1.64833910301321,201.181199761228
0.318,1.61155750166979,201.162974474045
0.32,1.57629573829914,201.13866260955
0.322,1.54252218121897,201.108523450828
0.324,1.5102052420145,201.072810884248
0.326,1.47931322137831,201.031773430519
0.328,1.4498145146345,200.985653935078
0.33,1.42167772361547,200.934689755989
0.332,1.3948716566641,200.879112763958
0.334,1.36936532863377,200.81914934233
0.336,1.34512796088833,200.755020387092
0.338,1.32212898187522,200.68694140867
0.34,1.30033793181157,200.615122802129
0.342,1.27972449162441,200.53976937115
0.344,1.26025864855066,200.46108074828
0.346,1.24191070396071,200.379251442594
0.348,1.22465127335846,200.294470839689
0.35,1.20845128638131,200.206923201689
0.352,1.19328198682465,200.116787667831
0.354,1.1791149114637,200.024238573539
0.356,1.16592179829004,199.929445057404
0.358,1.15367471921182,199.832571225905
0.36,1.14234612942178,199.733776549848
0.362,1.13190886739732,199.633215864358
0.364,1.12233615490042,199.531039368886
0.366,1.11360159697773,199.427392627206
0.368,1.10567918186502,199.322416584853
0.37,1.09854324137332,199.216247943145
0.372,1.09216840795139,199.109018383911
0.374,1.08652971706463,199.000855198361
0.376,1.08160262353494,198.891881623676
0.378,1.07736300154073,198.782216843007
0.38,1.0737871446169,198.671975985472
0.382,1.07085176565487,198.561270126159
0.384,1.06853399690254,198.450206286124
0.386,1.06681136627998,198.338887788768
0.388,1.06566174629423,198.2274136679
0.39,1.06506342425291,198.115878655007
0.392,1.06499511374321,198.004374081912
0.394,1.06543595456671,197.892987884697
0.396,1.06636551273935,197.781804603709
0.398,1.06776378049147,197.670905383553
0.4,1.06961117626781,197.560367973096
0.402,1.07188854472747,197.450266725464
0.404,1.0745771253852,197.34067310846
0.406,1.07765851888415,197.231654955558
0.408,1.0811147613628,197.123275844367
0.41,1.08492829506682,197.01559667699
0.412,1.08908196754076,196.90867570315
0.414,1.09355903162803,196.802568520197
0.416,1.09834314547088,196.697328073106
0.418,1.10341837251047,196.593004654473
0.42,1.10876918148679,196.48964590452
0.422,1.11438044643872,196.387296811093
0.424,1.1202374440816,196.28599973456
0.426,1.12632573950473,196.185795104302
0.428,1.13263133101417,196.086719420579
