Time,tau_m,tau_ext,theta_m,q,d_theta_m,d_q,dd_theta_m,dd_q
0.894,-0.0281253287176261,0,143.864112107994,1.43873555333072,187.379178291535,1.95779451624547,-732.72498971917,-11.2518207274859
0.896,-0.0253570934099782,0,144.237392141805,1.44250240727919,186.079164851172,1.93350527031491,-616.158656198816,-12.0928184695109
0.898,-0.0221472414697897,0,144.608301813266,1.44623623405623,184.981190871857,1.9078368609171,-506.028446393252,-12.6614211218745
0.9,-0.0186553571706125,0,144.977235350999,1.44994153454716,184.067092149667,1.8814451050313,-412.375286850931,-12.9337420898237
0.902,-0.0150710486417314,0,145.344530179321,1.45362237839084,183.30071217458,1.85500664812789,-343.490531750818,-12.9040570119194
0.904,-0.0115994972386393,0,145.710434115414,1.4572819330424,182.631619586346,1.82917364796346,-305.253760729101,-12.5853122759796
0.906,-0.0084456139958832,0,146.075081399342,1.46092209062067,181.999977841134,1.80453032608777,-300.72900576835,-12.0081683534714
0.908,-0.00579810244008221,0,146.438479414351,1.46454327090406,181.342049869001,1.78155557107473,-330.037744269903,-11.2186757598671
0.91,-0.00381473629194813,0,146.800506866691,1.46814445969376,180.595798748435,1.76059507905063,-390.498465418631,-10.2748067644859
0.912,-0.00261006145959759,0,147.160923098382,1.47172350076783,179.706078522647,1.74184507793576,-476.99830829045,-9.24216468621814
0.914,-0.00224653242335806,0,147.519387204131,1.47527759661843,178.628987586587,1.72534803758048,-582.544361917474,-8.18925397032195
0.916,-0.00272981014491116,0,147.875484811884,1.4788039076362,177.335067210982,1.71099947514721,-698.931802214038,-7.18271379746453
0.918,-0.00400860545020193,0,148.228759847137,1.48230010566438,175.811154683056,1.69856422158601,-817.463021352498,-6.28289606166849
0.92,-0.00597907687923768,0,148.578748372021,1.48576475577754,174.060829803278,1.68770017114411,-929.655220404698,-5.54011093336998
0.922,-0.00849341634466176,0,148.925011650969,1.48919745750858,172.103513144267,1.67798733910369,-1027.88198956275,-4.9917814697328
0.924,-0.0113719107297528,0,149.267165886283,1.49259874273833,169.972376019841,1.66895985942552,-1105.90550232479,-4.66065653839685
0.926,-0.0144174813947235,0,149.604906522192,1.49596977673254,167.711300417303,1.66013841963156,-1159.26862255734,-4.55413989910823
0.928,-0.0174315001588422,0,149.938025578984,1.49931193464526,165.371179928686,1.6510607408615,-1185.52931815925,-4.66470968386436
0.93,-0.020229576530885,0,150.266421106736,1.50262633751693,163.005879705993,1.64130818838555,-1184.33244363935,-4.97133002272308
0.932,-0.0226560153553852,0,150.590098498714,1.50591343818752,160.668175777992,1.6305273643831,-1157.32555373836,-5.44169632465051
0.934,-0.0245957562368372,0,150.909164024218,1.50917274288516,158.405973902719,1.61844633189528,-1107.93542820959,-6.03510927811885
0.936,-0.0259828167669113,0,151.223811476277,1.51240272674632,156.259068646331,1.60488560667722,-1041.03001833294,-6.70574269768375
0.938,-0.0268045532125114,0,151.534303249287,1.51560095329476,154.256648634755,1.58976400454858,-962.496293169251,-7.40605863733776
0.94,-0.0271014007118986,0,151.840947458724,1.5187643569138,152.415688859379,1.57309902534626,-878.767855847911,-8.09012904139622
0.942,-0.0269621312528166,0,152.144072894111,1.52188961328722,150.740300981395,1.55500127322583,-796.337275807385,-8.7166447902573
0.944,-0.0265150405445398,0,152.444003664508,1.52497351839627,149.222042821013,1.53566286843545,-721.287034412289,-9.25142795303588
0.946,-0.0259158134028231,0,152.741035354941,1.52801332045601,147.841122590542,1.51534066876444,-658.870068875504,-9.6693070564169
0.948,-0.0253330933515323,0,153.035414352907,1.53100698068696,146.568374999076,1.49433582128761,-613.166390940164,-9.95526252756774
0.95,-0.0249329728972844,0,153.327321722785,1.5339533565556,145.367837907585,1.47297140810519,-586.836406074532,-10.1047968994168
0.952,-0.0248637105257166,0,153.616862625356,1.53685230431456,144.199722428226,1.45156986515148,-580.984625522003,-10.1235329365751
0.954,-0.0252419614670697,0,153.904061839579,1.53970469816972,143.023548452521,1.43043169071191,-595.139756897682,-10.0260947361755
0.956,-0.0261416832633341,0,154.188865480858,1.54251236661203,141.801212851342,1.40981678546965,-627.349079251817,-9.83438031095909
0.958,-0.0275866545986464,0,154.471148555169,1.54527795035145,140.499769206821,1.38992948760116,-674.377058312366,-9.57538165375119
0.96,-0.0295472452012858,0,154.750727572995,1.54800469012407,139.09372503313,1.37090795430901,-731.990912561097,-9.27874022485128
0.962,-0.0319417208422412,0,155.027377105347,1.5506961612382,137.566703099999,1.35281813156716,-795.30988252163,-8.97423704688867
0.964,-0.0346419899049462,0,155.300848924579,1.55335598940279,135.912364712755,1.33565234103715,-859.190785924379,-8.68940959282842
0.966,-0.0374833280206927,0,155.570892240992,1.55598759792218,134.134550644316,1.31933254149569,-918.620402699182,-8.4474686903126
0.968,-0.040277285566126,0,155.837273506256,1.5585940254584,132.246655175009,1.30371840828102,-969.085461248452,-8.26566169160942
0.97,-0.0428267169411945,0,156.099794302005,1.56117781254686,130.270305553433,1.28862024695164,-1006.89341490929,-8.15419305591397
0.972,-0.0449416925677799,0,156.358305990582,1.56374091763409,128.233468784217,1.27381626160557,-1029.42154791823,-8.11576869533973
0.974,-0.0464549792604569,0,156.612720091759,1.56628462394565,126.168146524257,1.25907292679286,-1035.27784334239,-8.14577675878099
0.976,-0.0472358082934808,0,156.863013736392,1.56880943274105,124.107844695161,1.24416648832311,-1024.36400648715,-8.23306091985627
0.978,-0.0472007903560459,0,157.109229975953,1.57131497505614,122.08501588218,1.22890325861649,-997.838545492876,-8.36119224701303
0.98,-0.0463210710760194,0,157.351473140599,1.57379998790039,120.128669204357,1.21313643240242,-957.985327418158,-8.51011006636093
0.982,-0.0446251304764697,0,157.589899803441,1.57626238781359,118.262324559227,1.19677752862497,-908.000021134173,-8.65798316424203
0.984,-0.0421969889470176,0,157.824706209119,1.57869944681969,116.502457596762,1.17980130214401,-851.712810009812,-8.7831378079709
0.986,-0.0391699612913468,0,158.056113251965,1.58110804836745,114.85754105172,1.16224412987295,-793.270273509307,-8.8659038835669
0.988,-0.0357164677409196,0,158.284350231348,1.58348498015744,113.327740126384,1.14419712927831,-736.802058434444,-8.89024156396022
